canonical,formula,natural,raw_ltl
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go to the blue room keep going and stop when you reach the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go to the green room via the blue room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through the blue room into the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go over towards the blue room and up through it to the green rectanglular room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through the blue to get to the green,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through blue room to green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",follow the path through the blue room to get to the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through the blue room to the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through blue rooms to get to the green one,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",take the blue room first which leads to the green room,F & B F C
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",move through the green rooms to get to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go from the pink room to the blue room by going through the green room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go through the green room to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",pass through the small green room to get to the large blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",move to the blue room by going through the green room first,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",move into the blue room through the green room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",travel through the green room to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go through the green box to get to the blue area,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go through the green room in to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",enter blue room through green room,F & C F B
finally go to the red room,finally go to the red room,move to the red room,F R
finally go to the red room,finally go to the red room,move to the red room,F R
finally go to the red room,finally go to the red room,go to the red room,F R
finally go to the red room,finally go to the red room,go to the red room,F R
finally go to the red room,finally go to the red room,move from your room to the red room,F R
finally go to the red room,finally go to the red room,move to the red room,F R
finally go to the red room,finally go to the red room,go in to the pink room,F R
finally go to the red room,finally go to the red room,go to the pink room,F R
finally go to the red room,finally go to the red room,move into the red room and stay on the first square you end up on,F R
finally go to the red room,finally go to the red room,go to pink room,F R
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go only through rooms that are not yellow to get to the green room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",make your way to the green room while avoiding the yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",proceed to green area while avoiding the yellow area,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",move through the room that isn t yellow into the green room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go to green area avoiding yellow area,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",don t go through the yellow room while going to the green room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go into the green room without crossing the yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",move to the green room but don t go through the yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",the robot is to move towards the green room without entering a yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go to the green room without entering a yellow room,& F C G ! Y
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move into the red room and push the chair back into the purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",go to the red room and push the chair in front of the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",go to red room get the chair go back to purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move to the red room retrieve the chair and push it back to the the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move into the red room and then push the chair into the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move into the red room get to the left of the chair and push the chair back up into the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",bring the chair in the red room back to the purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move to the red room push the chair to the blue room,F & R F X
